      i          j        RA          k  l     Dec        m n         mag        
      173        1603      7.5854e+01   0. 0. 	 6.0442e+01 0. 0.      4.0300e+00
      174        1605      7.5492e+01   0. 0. 	 4.3823e+01 0. 0.      2.9900e+00
      175        1612      7.5619e+01   0. 0. 	 4.1076e+01 0. 0.      3.7500e+00
      176        1641      7.6628e+01   0. 0. 	 4.1236e+01 0. 0.      3.1700e+00
      177        1654      7.6365e+01   0. 0. 	-2.2370e+01 0. 0.      3.1900e+00
      178        1666      7.6964e+01   0. 0. 	-5.0850e+00 0. 0.      2.7900e+00
      179        1679      7.7287e+01   0. 0. 	-8.7538e+00 0. 0.      4.2700e+00
      180        1696      7.8074e+01   0. 0. 	-1.1868e+01 0. 0.      4.4500e+00
      181        1698      7.8323e+01   0. 0. 	 2.8610e+00 0. 0.      4.4600e+00
      182        1702      7.8232e+01   0. 0. 	-1.6205e+01 0. 0.      3.3100e+00
      183        1705      7.8308e+01   0. 0. 	-1.2941e+01 0. 0.      4.3600e+00
      184        1708      7.9171e+01   0. 0. 	 4.6004e+01 0. 0.      8.0000e-02
      185        1713      7.8635e+01   0. 0. 	-8.2013e+00 0. 0.      1.2000e-01
      186        1735      7.9402e+01   0. 0. 	-6.8442e+00 0. 0.      3.6000e+00
      187        1756      7.9894e+01   0. 0. 	-1.3177e+01 0. 0.      4.2900e+00
      188        1784      8.0987e+01   0. 0. 	-7.8071e+00 0. 0.      4.1400e+00
      189        1788      8.1119e+01   0. 0. 	-2.3969e+00 0. 0.      3.3600e+00
      190        1790      8.1283e+01   0. 0. 	 6.3498e+00 0. 0.      1.6400e+00
      191        1791      8.1572e+01   0. 0. 	 2.8610e+01 0. 0.      1.6500e+00
      192        1829      8.2061e+01   0. 0. 	-2.0758e+01 0. 0.      2.8400e+00
      193        1839      8.2696e+01   0. 0. 	 5.9487e+00 0. 0.      4.2000e+00
      194        1845      8.3053e+01   0. 0. 	 1.8594e+01 0. 0.      4.3800e+00
      195        1852      8.3002e+01   0. 0. 	-2.9881e-01 0. 0.      2.2300e+00
      196        1862      8.2803e+01   0. 0. 	-3.5470e+01 0. 0.      3.8700e+00
      197        1865      8.3182e+01   0. 0. 	-1.7822e+01 0. 0.      2.5800e+00
      198        1876      8.3705e+01   0. 0. 	 9.4895e+00 0. 0.      4.4100e+00
      199        1879      8.3784e+01   0. 0. 	 9.9341e+00 0. 0.      3.6600e+00
      200        1899      8.3858e+01   0. 0. 	-5.9098e+00 0. 0.      2.7700e+00
      201        1903      8.4053e+01   0. 0. 	-1.2018e+00 0. 0.      1.7000e+00
      202        1907      8.4225e+01   0. 0. 	 9.2948e+00 0. 0.      4.0900e+00
      203        1910      8.4411e+01   0. 0. 	 2.1143e+01 0. 0.      3.0000e+00
      204        1922      8.3407e+01   0. 0. 	-6.2490e+01 0. 0.      3.7600e+00
